央视频道,#genre#
CCTV1,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv16hd4k8m/15000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000
CCTV1,http://60.208.113.114:8001/newlive/live/hls/12/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/15/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/13/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/11/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/16/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/14/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV2,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV2,http://60.208.113.114:8001/newlive/live/hls/2/live.m3u8
CCTV2,http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8
CCTV2,http://222.173.147.142:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://222.188.68.38:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://qdxiehou.7766.org:9901/tsfile/live/0002_1.m3u8
CCTV2,http://111.207.22.10:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8
CCTV2,http://171.108.239.31:8181/tsfile/live/0002_1.m3u8
CCTV2,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV2,http://58.19.38.233:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://220.163.178.144:8888/tsfile/live/0002_1.m3u8
CCTV2,http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8
CCTV2,https://epg.pw/stream/9ae57cd4c14b62284d1867572b5c6d0eb610112cb78cb6bbc286e29f765cc7a5.m3u8
CCTV3,https://epg.pw/stream/7361b754ebaf0853cb863bc4a3af9233d23c74c0e46a0aa7190d44f0389e0822.m3u8
CCTV3,http://58.248.84.148:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://60.211.167.226:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://60.208.113.114:8001/newlive/live/hls/3/live.m3u8
CCTV3,http://php.jdshipin.com:8880/bst.php?id=cctv38m/8000000
CCTV3,http://183.134.3.22:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://222.173.147.142:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://101.71.176.182:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://222.188.68.38:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://111.207.22.10:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://221.2.146.228:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://112.6.117.141:9901/tsfile/live/0003_1.m3u8
CCTV3,http://123.170.147.53:5000/udp/239.21.1.3:5002
CCTV3,http://125.210.152.19:9123/live/hzgq-cctv3gq-h264.m3u8
CCTV3,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,https://epg.pw/stream/5ea26961bbc8690cbd372a194e8801249644123feab6354e1f2cdd2b8a0026ca.m3u8
CCTV4,http://58.248.84.148:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://60.211.167.226:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://php.jdshipin.com:8880/bst.php?id=cctv4hd/4000000
CCTV4,http://222.173.147.142:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://183.134.3.22:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://222.189.51.62:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://222.188.68.38:8888/newlive/live/hls/5/live.m3u8
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,http://111.207.22.10:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://101.71.176.182:8888/newlive/live/hls/5/live.m3u8
